name
Çaglar Söyüncü
Adama Traoré Diarra
Ahmed El Mohamady
Ahmed El-Sayed Hegazy
Alejandro Garnacho Ferreyra
Aleksandar Mitrović
Alex Nicolao Telles
Amad Diallo
André-Frank Zambo Anguissa
Andreas Hoelgebaum Pereira
Antonee Robinson
Armel Bella-Kotchap
Arnaut Danjuma
Asmir Begović
Bamidele Alli
Benjamin Chilwell
Benjamin White
Benoît Badiashile
Bernardo Mota Veiga de Carvalho e Silva
Bernardo Veiga de Carvalho e Silva
Bernd Leno
Bobby De Cordova-Reid
Bobby Decordova-Reid
Boubacar Traoré
Boubakary Soumaré
Bruno Borges Fernandes
Bruno Miguel Borges Fernandes
Cédric Alves Soares
Carlos Vinícius Alves Morais
Cheick Doucouré
Clément Lenglet
Conrad Egan-Riley
Cristiano Ronaldo dos Santos Aveiro
Daniel Castelo Podence
Daniel Ceballos Fernández
Daniel Iversen
Daniel N'Lundulu
Dara O'Shea
Darwin Núñez Ribeiro
David De Gea Quintana
David Raya Martin
Dennis Praet
Diogo Dalot Teixeira
Edward Nketiah
Emerson Aparecido Leite de Souza Junior
Emerson Leite de Souza Junior
Emile Smith Rowe
Emiliano Buendía Stati
Emiliano Martínez
Emiliano Martínez Romero
Fábio Freitas Gouveia Carvalho
Facundo Pellistri Rebollo
Ferran Torres
Francisco Casilla Cortés
Francisco Femenía Far
Gabriel Fernando de Jesus
Gabriel Martinelli Silva
Gabriel Teodoro Martinelli Silva
Gonçalo Manuel Ganchinho Guedes
Gustavo Henrique Furtado Scarpa
Héctor Junior Firpo Adames
Hélder Wander Sousa de Azevedo e Costa
Halil Dervişoğlu
Hamed Traorè
Harrison Reed
Harry Wilson
Harvey Barnes
Heung-Min Son
Hugo Bueno López
Hwang Hee-chan
Ian Carlo Poveda-Ocampo
Imrân Louza
Issa Diop
Ivan Perišić
Ivan Ricardo Neves Abreu Cavaleiro
Jack O'Connell
James Maddison
Jamie Vardy
Javier Manquillo Gaitán
Jefferson Lerma Solís
Jeremy Sarmiento Morante
João Filipe Iria Santos Moutinho
João Palhinha Gonçalves
João Pedro Cavaco Cancelo
José Diogo Dalot Teixeira
José Malheiro de Sá
Joseph Willock
Juan Camilo Hernández Suárez
Juan Larios López
Junior Firpo Adames
Kenny Tete
Kepa Arrizabalaga
Kiernan Dewsbury-Hall
Lewis O'Brien
Lucas Tolentino Coelho de Lima
Luis Sinisterra Lucumí
Luke Thomas
Mads Roerslev Rasmussen
Manor Solomon
Marc Cucurella Saseta
Marc Guéhi
Marc Roca Junqué
Martin Ødegaard
Matías Viña
Mateus Cardoso Lemos Martins
Matheus Luiz Nunes
Matheus Santos Carneiro Da Cunha
Mathew Ryan
Matty Cash
Miguel Almirón Rejala
Mohamed Naser El Sayed Elneny
Moisés Caicedo Corozo
Moussa Niakhaté
Nélson Cabral Semedo
Nayef Aguerd
Neeskens Kebano
N'Golo Kanté
Nicolas Nkoulou
Nicolas Pépé
Nuno Varela Tavares
Oghenekaro Peter Etebo
Oluwasemilogo Adesewo Ibidapo Ajayi
Oriol Romeu Vidal
Pablo Fornals Malla
Pablo Hernández Domínguez
Pape Matar Sarr
Patson Daka
Pedro Lomba Neto
Pelenda Joshua Dasilva
Philippe Coutinho Correia
Rúben da Silva Neves
Rúben Diogo da Silva Neves
Rúben Gato Alves Dias
Rúben Gonçalo Silva Nascimento Vinagre
Rúben Nascimento Vinagre
Rúben Santos Gato Alves Dias
Raphaël Varane
Rayan Aït-Nouri
Ricardo Barbosa Pereira
Ricardo Domingos Barbosa Pereira
Rodrigo Hernandez
Roméo Lavia
Romain Saïss
Rui Pedro dos Santos Patrício
Saïd Benrahma
Sasa Lukic
Sergi Canós
Sergi Canós Tenés
Shane Duffy
Solomon March
Son Heung-min
Tanguy Ndombele
Thiago Alcántara do Nascimento
Timothy Castagne
Tino Livramento
Tom Cairney
Tosin Adarabioyo
Victor Kristiansen
Wilfred Ndidi
Willian Borges da Silva
Wout Faes
Youri Tielemans
