name
Aaron Connolly
Aaron Cresswell
Aaron Ramsdale
Aaron Wan-Bissaka
Abdoulaye Doucouré
Aboubakar Kamara
Adam Lallana
Adam Webster
Adama Traoré
Ademola Lookman
Adrián
Ahmed Elmohamady
Ahmed Hegazy
Ainsley Maitland-Niles
Aleksandar Mitrovic
Alex Iwobi
Alex McCarthy
Alex Oxlade-Chamberlain
Alex Telles
Alexandre Jankewitz
Alexandre Lacazette
Alexis Mac Allister
Alireza Jahanbakhsh
Alisson
Allan Saint-Maximin
Allan Tchaptchet
Allan
Alphonse Areola
Amad Diallo Traore
Andi Zeqiri
Andreas Christensen
Andrew Robertson
Andriy Yarmolenko
Andros Townsend
André Gomes
Andy Carroll
Angelo Ogbonna
Anthony Elanga
Anthony Gordon
Anthony Martial
Antonee Robinson
Antonio Rüdiger
Antwoine Hackford
Anwar El Ghazi
Arthur Masuaku
Ashley Barnes
Ashley Westwood
Axel Tuanzebe
Aymeric Laporte
Ayoze Pérez
Bailey Peacock-Farrell
Ben Chilwell
Ben Davies
Ben Godfrey
Ben Johnson
Ben Mee
Ben Osborn
Ben White
Benjamin Mendy
Bernard
Bernardo Silva
Bernardo
Bernd Leno
Bertrand Traoré
Billy Gilmour
Billy Sharp
Bobby Reid
Brandon Williams
Branislav Ivanovic
Bruno Fernandes
Bukayo Saka
Caglar Söyüncü
Caleb Watts
Callum Hudson-Odoi
Callum Robinson
Callum Wilson
Calum Chambers
Caoimhin Kelleher
Carlos Vinicius
Carney Chukwuemeka
Cengiz Ünder
Cenk Tosun
Charlie Austin
Charlie Taylor
Che Adams
Cheikhou Kouyaté
Chris Basham
Chris Wood
Christian Benteke
Christian Fuchs
Christian Pulisic
Ciaran Clark
Conor Coady
Conor Gallagher
Conor Hourihane
Conor Townsend
Craig Dawson
Curtis Jones
Cédric Soares
César Azpilicueta
Dale Stephens
Dan Burn
Dane Scarlett
Dani Ceballos
Daniel Amartey
Daniel James
Daniel Jebbison
Daniel N&#039;Lundulu
Daniel Podence
Danny Ings
Danny Welbeck
Dara O&#039;Shea
Darnell Furlong
Darren Randolph
David Button
David de Gea
David Luiz
David McGoldrick
Davinson Sánchez
Davy Pröpper
Dean Henderson
DeAndre Yedlin
Declan Rice
Dele Alli
Demarai Gray
Denis Odoi
Dennis Praet
Diego Llorente
Diogo Jota
Divock Origi
Dominic Calvert-Lewin
Donny van de Beek
Douglas Luiz
Dwight Gayle
Dwight McNeil
Eberechi Eze
Eddie Nketiah
Ederson
Edinson Cavani
Edouard Mendy
Elliot Anderson
Emerson
Emil Krafth
Emile Smith-Rowe
Emiliano Martinez
Enda Stevens
Eric Bailly
Eric Dier
Eric Garcia
Erik Lamela
Erik Pieters
Ethan Ampadu
Ezgjan Alioski
Ezri Konsa Ngoyo
Fabian Delph
Fabian Schär
Fabinho
Fabio Carvalho
Fabio Silva
Fabián Balbuena
Federico Fernández
Felipe Anderson
Femi Seriki
Fernandinho
Fernando Marçal
Ferrán Torres
Fikayo Tomori
Filip Krovinovic
Franck Zambo
Fraser Forster
Fred
Gabriel Jesus
Gabriel Martinelli
Gabriel
Gaetano Berardi
Gareth Bale
Gary Cahill
George Baldock
Georginio Wijnaldum
Giovani Lo Celso
Grady Diangana
Granit Xhaka
Gylfi Sigurdsson
Hakim Ziyech
Hal Robson-Kanu
Hamza Choudhury
Hannibal Mejbri
Harrison Reed
Harry Kane
Harry Maguire
Harry Winks
Harvey Barnes
Hugo Lloris
Héctor Bellerín
Hélder Costa
Ian Poveda-Ocampo
Ibrahima Diallo
Iliman Ndiaye
Ilkay Gündogan
Illan Meslier
Isaac Hayden
Islam Slimani
Issa Diop
Ivan Cavaleiro
Jack Butland
Jack Cork
Jack Grealish
Jack Harrison
Jack O&#039;Connell
Jack Robinson
Jack Stephens
Jacob Murphy
Jacob Ramsey
Jaden Philogene-Bidace
Jairo Riedewald
Jake Livermore
Jake Vokins
Jakub Moder
Jamaal Lascelles
Jamal Lewis
James Justin
James Maddison
James McArthur
James McCarthy
James Milner
James Rodríguez
James Tarkowski
James Tomkins
James Ward-Prowse
Jamie Shackleton
Jamie Vardy
Jan Bednarek
Jannik Vestergaard
Japhet Tanganga
Jarrod Bowen
Javier Manquillo
Jay Rodriguez
Jayden Bogle
Jayson Molumby
Jean-Philippe Gbamin
Jean-Philippe Mateta
Jeff Hendrick
Jeffrey Schlupp
Jesse Lingard
Jimmy Dunne
Joachim Andersen
Joe Bryan
Joe Rodon
Joe Willock
Joel Matip
Joel Mumbongo
Joel Ward
Joelinton
Johann Berg Gudmundsson
John Egan
John Fleck
John Lundstram
John McGinn
John Ruddy
John Stones
Jonjo Shelvey
Jonjoe Kenny
Jonny Evans
Jonny
Jordan Ayew
Jordan Henderson
Jordan Pickford
Jorginho
Joseph Gomez
Josh Benson
Josh Brownhill
Josh Maja
Josh Onomah
Joshua King
José Izquierdo
João Cancelo
João Moutinho
João Virgínia
Joël Veltman
Juan Mata
Kai Havertz
Kalvin Phillips
Kamil Grosicki
Karl Darlow
Karlan Grant
Kasper Schmeichel
Kayne Ramsay
Kean Bryan
Keinan Davis
Kelechi Iheanacho
Kenny Tete
Kepa
Kevin De Bruyne
Kevin Long
Ki-Jana Hoever
Kieran Gibbs
Kieran Tierney
Kiko Casilla
Konstantinos Tsimikas
Kortney Hause
Kurt Zouma
Kyle Bartley
Kyle Edwards
Kyle Walker-Peters
Kyle Walker
Leander Dendoncker
Leandro Trossard
Lee Peltier
Leif Davis
Lewis Dunk
Lewis Richardson
Liam Cooper
Liam Delap
Lucas Digne
Lucas Moura
Luka Milivojevic
Lukasz Fabianski
Luke Ayling
Luke Shaw
Luke Thomas
Lys Mousset
Mamadou Sakho
Manuel Lanzini
Marc Albrighton
Marcos Alonso
Marcus Rashford
Marek Rodák
Mario Lemina
Mark Noble
Martin Dubravka
Martin Kelly
Martin Odegaard
Marvelous Nakamba
Mason Greenwood
Mason Holgate
Mason Mount
Mat Ryan
Matej Vydra
Mateo Kovacic
Mateusz Klich
Matheus Pereira
Matt Doherty
Matt Phillips
Matt Ritchie
Matt Targett
Matthew Cash
